Action,"Clearing, The",2001,9.9
Action,"Gong fu qi jie",1979,9.9
Action,"Burn 'Em Up Barnes (1934/I)",1934,9.8
Adult,"Young and Restless 2",1985,9.9
Adult,"Screw the Right Thing",1990,9.8
Adult,"Boys of Venice, The",1978,9.3
Adventure,"Burn 'Em Up Barnes (1934/I)",1934,9.8
Adventure,"Leng mian hu",1973,9.8
Adventure,"Toate pnzele sus",1976,9.8
Animation,"Jnos vitz",1973,9.9
Animation,"Star povesti cesk",1953,9.9
Animation,"Unicorn in the Garden, A",1953,9.9
Comedy,"Blow Job",2002,9.9
Comedy,"Dawn of the Friend",2004,9.9
Comedy,"Duck Soup",1942,9.9
Crime,"Drive-by Shooting",1994,9.8
Crime,"Kiga kaikyo",1965,9.8
Crime,"Lizzie Borden Hash & Rehash",1995,9.7
Documentary,"Huttyn",1996,9.9
Documentary,"Marche des femmes  Hendaye, La",1975,9.9
Documentary,"Prostitues de Lyon parlent, Les",1975,9.9
Drama,"Atunci i-am condamnat pe toti la moarte",1971,9.9
Drama,"Devil's Circus, The",1926,9.9
Drama,"Distinto amanecer",1943,9.9
Family,"Dosti",1964,9.9
Family,"Jeene Ki Raah",1969,9.8
Family,"Rusalochka",1968,9.8
Fantasy,"Marya-iskusnitsa",1960,9.8
Fantasy,"Zero",2000,9.8
Fantasy,"Quincy's Quest",1979,9.7
Film-Noir,"Sunset Blvd.",1950,8.6
Film-Noir,"Double Indemnity",1944,8.5
Film-Noir,"Third Man, The",1949,8.5
Horror,"Clearing, The",2001,9.9
Horror,"Dawn of the Friend",2004,9.9
Horror,"Suspension of Disbelief",2002,9.8
Music,"Complex Sessions, The",1994,9.9
Music,"Bob Dylan in Concert",1986,9.8
Music,"Judy Garland in Concert",1964,9.8
Musical,"Dosti",1964,9.9
Musical,"Velnio nuotaka",1973,9.9
Musical,"Dalu",1934,9.8
Mystery,"Kiga kaikyo",1965,9.8
Mystery,"Marienthal: State of Emergency",2002,9.8
Mystery,"Decak iz Junkovca",1995,9.6
Romance,"Distinto amanecer",1943,9.9
Romance,"Doki-Doki",2003,9.8
Romance,"Ekdromi, I",1966,9.8
Sci-Fi,"Inseguito",2002,9.8
Sci-Fi,"Taking Tiger Mountain",1983,9.8
Sci-Fi,"Halo",2001,9.7
Short,"Blow Job",2002,9.9
Short,"Clearing, The",2001,9.9
Short,"Complex Sessions, The",1994,9.9
Thriller,"Clearing, The",2001,9.9
Thriller,"Distinto amanecer",1943,9.9
Thriller,"Inseguito",2002,9.8
War,"Atunci i-am condamnat pe toti la moarte",1971,9.9
War,"Pair of Boots, A",1962,9.9
War,"Ubijtsi vykhodyat na dorogu",1942,9.9
Western,"Narrow Trail, The",1917,9.3
Western,"Pruncul, petrolul si Ardelenii",1981,9.2
Western,"Visit from the Incubus, A",2001,9.2
